sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
143688	277A	277A_S402_L001_R1_001.fastq.gz	e2573a9efbf29d53ab198d71e4b2b54090af44328fe968d1bb508eaae9da1469	277A_S402_L001_R2_001.fastq.gz	0034ddcdfc046ee00df9962467fb4ccdfc5e4433ca35daa49e3fc471aab34f95	679	20220112_matsuda	7943	5521	252	5521	252	0	0	0	0	5333	15	0	0	0	25	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143696	315C	315C_S338_L001_R1_001.fastq.gz	5e6dfdc1ca5e53beda2dd1b69992e1dcab72f04c75a1d590d0797ffc80d80bef	315C_S338_L001_R2_001.fastq.gz	b12e23f645359e24474d45e6a19c59ced7d1ee4b8a7ba909dc792e2f9505c678	679	20220112_matsuda	4213	2615	106	2615	106	0	0	0	0	2554	13	0	0	0	12	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143648	1226C	1226C_S254_L001_R1_001.fastq.gz	525f09f9bfdd18d6a95a0d293a013f980abe233d286449443979772482b8b7b2	1226C_S254_L001_R2_001.fastq.gz	5bf9c585b795b2e8d0994310a55df9757c296f8235469a3a06b88a13a3f8d697	679	20220112_matsuda	8015	5180	232	5180	232	0	0	0	0	4990	15	0	0	0	25	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143742	620A	620A_S366_L001_R1_001.fastq.gz	bbbe0a1e7f30d68f880b6c0f4e064ee524028c34b8ef6d9f2dcc2feb20883f05	620A_S366_L001_R2_001.fastq.gz	6608775e6abc28feab7358f7c5ae3a6ef6bbc5f848f69f7d3913da9fe9a9322e	679	20220112_matsuda	2978	1684	58	1684	58	0	0	0	0	1662	18	0	0	0	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143776	83A	83A_S390_L001_R1_001.fastq.gz	a247f46bc31a891568cfb14baaad3d52125951463b7e85ecb12fc8e1a2a927a2	83A_S390_L001_R2_001.fastq.gz	20d3dae81d63be4eef29406f11d4a2d21851c77d7234ed068201b7f7f763cc9b	679	20220112_matsuda	3814	2310	83	2310	83	0	0	0	0	2275	23	0	0	4	8	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143649	1255A	1255A_S297_L001_R1_001.fastq.gz	f3a2dec37d4fdc69d6622e0b91929ff440abd84494f1891ffcf2e6db135a42e8	1255A_S297_L001_R2_001.fastq.gz	6b580244dd540ade83ed4bbf8dd2a0e249596b0d9186e2805d89c557de137287	679	20220112_matsuda	1143	601	25	601	25	0	0	0	0	595	15	0	0	4	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143777	83B	83B_S391_L001_R1_001.fastq.gz	77994678ae4eec481da959eac00ac141f6eafabe3dd3b3c042963aded2ad1256	83B_S391_L001_R2_001.fastq.gz	ea0f495918a2c69acf24e8642b12bdbe3fde98cf1f35fd46dc3ae30c74e1c1c2	679	20220112_matsuda	3320	1985	67	1985	67	0	0	0	0	1963	21	0	0	0	11	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143694	315A	315A_S336_L001_R1_001.fastq.gz	122972c4d20934dc33306c04a1919f835796e8e1af3414b8bb7cf159652ee47a	315A_S336_L001_R2_001.fastq.gz	f727f7fda7bc9f4df3e539fa5b245b53edc49bb7fca073f96478c021235e2bf6	679	20220112_matsuda	2798	1345	62	1345	62	0	0	0	0	1330	31	0	0	35	4	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143743	620B	620B_S367_L001_R1_001.fastq.gz	406d1497218702758b83e76bd0fb223d965ec0f6abc7dd6d8033b3b54bbf1522	620B_S367_L001_R2_001.fastq.gz	2b542ac07c37a97df23b92a774f856e05def126a89c18538446aeebeb7cc1e36	679	20220112_matsuda	3955	2249	83	2249	83	0	0	0	0	2224	29	0	0	32	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143731	576B	576B_S355_L001_R1_001.fastq.gz	bf9302de966bf7cb4af54d98a49f009892a23221af02a74d4a03d3e48a4905d7	576B_S355_L001_R2_001.fastq.gz	ea6c20206b8012d6910488f6bce7e2da9304c468777b61ef59c07b949dee37e1	679	20220112_matsuda	2897	1686	70	1686	70	0	0	0	0	1656	29	0	0	15	10	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
143685	258A	258A_S393_L001_R1_001.fastq.gz	b0044e55e584d6e19bb7567a6e60f6302630dc9d29a0b096ef637e563bc1886c	258A_S393_L001_R2_001.fastq.gz	897cc6aee3e7a868723dec530b00b08a3da9c564a1360af4ba08edf29f977a0c	679	20220112_matsuda	8549	5392	215	5392	215	0	0	0	0	5232	20	0	0	0	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	21.45128300	-157.79630000	NoData	NoData
